terms,windows,Term1,Term2,Term3,Term4,Term5,Term6,Term7,Term8,Term9,Term10
social,400,ecological,society,citizen,protecting,vulnerable,wide_range,wellbeing,taking_place,knowledge_gap,islander
social,450,ecological,society,taking_place,citizen,protecting,wide_range,wellbeing,vulnerable,survival,knowledge_gap
social,500,ecological,society,citizen,protecting,wellbeing,wide_range,vulnerable,knowledge_gap,survival,taking_place
exclude,50,sign_agreement,ownership,modified,spreadsheet,format,unused,data_input,soon_possible,user_input,contract
exclude,100,ownership,performing,format,compensation,seal,applying,ability_adjust,may_arise,acquiring,registrant
exclude,150,seal,unused,ownership,applying,format,compensation,ability_adjust,selection,ticket,performing
exclude,200,data_input,boundary,ownership,sign_agreement,manufactured,continuous,selection,specially,ee,previously
exclude,250,ownership,proceed,spreadsheet,ineligible,sign_agreement,partially,cash_flow,previously,appropriately,temporary
exclude,300,eligible_receive,sign_agreement,previously,incentive_paid,boundary,opa,data_input,ee,contract,ownership
exclude,350,eligible_receive,sign_agreement,incentive_paid,previously,boundary,condition_payment,meter,continuous,transported,opa
exclude,400,eligible_receive,sign_agreement,incentive_paid,previously,boundary,operates,opa,ownership,condition_payment,specially
exclude,450,eligible_receive,incentive_paid,sign_agreement,boundary,condition_payment,operates,previously,located,continuous,bulb
exclude,500,eligible_receive,incentive_paid,sign_agreement,previously,boundary,located,operates,meter,condition_payment,opa
alone,50,highest,therefore,current_level,yield,term,reaching,comparison,madeinmanitoba_plan,chart,reach
alone,100,reach,yield,across_entire,beyond,share,costeffective_way,therefore,direct_operating,expectation,employing
alone,150,reach,yield,therefore,measure_introduced,beyond,across_entire,share,substantial,current_level,leakage
alone,200,illustrated,illustrates,term,debt_gdp,reflects,would_require,claim_cost,current_level,forecast_rise,prioryear_adjustment
alone,250,decoupling,predictable,study_ass,reflects,current_level,illustrates,illustrated,comparison,“carbon,term
alone,300,illustrates,claim_cost,reflects,prioryear_adjustment,debt_gdp,illustrated,forecast_rise,current_level,external_factor,floor_price
alone,350,claim_cost,prioryear_adjustment,forecast_rise,reflects,illustrates,debt_gdp,current_level,predicted,illustrated,unlikely
alone,400,claim_cost,prioryear_adjustment,reflects,illustrates,current_level,forecast_rise,debt_gdp,illustrated,external_factor,floor_price
alone,450,claim_cost,prioryear_adjustment,forecast_rise,reflects,current_level,illustrates,debt_gdp,illustrated,external_factor,predicted
alone,500,prioryear_adjustment,claim_cost,forecast_rise,illustrates,reflects,current_level,debt_gdp,illustrated,predicted,unlikely
friend,50,infrastructure_owner,village,attend,child_youth,lacking,deaf,northern_community,aboriginal_community,home_care,eco
friend,100,home_care,address_knowledge,manitoba_continue,longterm_care,expert_increase,bird,hiring,excellent,host,retain
friend,150,home_care,bird,responsive,address_knowledge,near_future,infrastructure_owner,child_youth,manitoba_committed,sector_collaborator,excellent
friend,200,fishery,infrastructure_owner,town,researcher,nurturing_living,polar_bear,valuable,water_retention,adequate,holland_college
friend,250,water_retention,share_best,worked,art,public_outreach,career,relocate,researcher,village,nl’s
friend,300,fishery,town,water_retention,infrastructure_owner,restoration,planner,valuable,intervention,entrepreneur,holland_college
friend,350,fishery,town,water_retention,valuable,planner,restoration,infrastructure_owner,entrepreneur,holland_college,researcher
friend,400,fishery,town,water_retention,planner,restoration,infrastructure_owner,valuable,wildlife_management,approaching,shore
friend,450,town,water_retention,fishery,planner,approaching,valuable,restoration,shore,wildlife_management,intervention
friend,500,town,water_retention,fishery,planner,restoration,valuable,approaching,infrastructure_owner,entrepreneur,intervention
family,50,child_care,care,additional_million,benefit,employee,infant,attract,early_care,employment_opportunity,find
family,100,child_care,care,create_new,employment_opportunity,benefit,find,capital,aging,disposable_income,young_adult
family,150,care,disposable_income,create_new,employment_opportunity,child_care,life,stimulus,find,aging,benefit
family,200,small_mediumsized,public_postsecondary,employee,care,child_care,invest,early_childhood,find,affordable_housing,individual_business
family,250,child_care,care,employment_opportunity,affordable_housing,create_new,affordable_child,find,small_mediumsized,across_province,life
family,300,employee,small_mediumsized,public_postsecondary,care,affordable_housing,find,child_care,employment_opportunity,attract,early_childhood
family,350,small_mediumsized,public_postsecondary,employee,care,find,employment_opportunity,affordable_housing,create_new,taking_advantage,early_childhood
family,400,public_postsecondary,small_mediumsized,employee,care,find,affordable_housing,employment_opportunity,attract,taking_advantage,create_new
family,450,small_mediumsized,public_postsecondary,employee,care,find,taking_advantage,employment_opportunity,attract,affordable_housing,across_province
family,500,small_mediumsized,public_postsecondary,employee,early_childhood,care,find,across_province,taking_advantage,attract,employment_opportunity
