terms,windows,Term1,Term2,Term3,Term4,Term5,Term6,Term7,Term8,Term9,Term10
infrastructure,450,capacity,access,decommissioning,indigenous_community,safety,permafrost_warming,company,saltwater_intrusion,snowmaking,insurance
infrastructure,500,capacity,access,decommissioning,resistant,jeopardize,safety,company,indigenous_community,culturally_appropriate,permafrost_warming
fuel,50,operated,vehicle,home_heating,carbon_content,levied,producer_distributor,importer,line_resd,nonregistered_person,delivers_fuel
fuel,100,operated,home_heating,vehicle,producer_distributor,carbon_content,nonregistered_person,levied,peat,importer,line_resd
fuel,150,vehicle,home_heating,producer_distributor,carbon_content,operated,peat,nonregistered_person,marketable_natural,levied,line_resd
fuel,200,vehicle,home_heating,producer_distributor,carbon_content,peat,nonregistered_person,operated,marketable_natural,delivers_fuel,origin
fuel,250,vehicle,delivers_fuel,line_resd,origin,home_heating,large_reservoir,marketable_natural,coal,plugin,carbon_content
fuel,300,producer_distributor,home_heating,vehicle,peat,carbon_content,operated,marketable_natural,nonregistered_person,combusted,gasoline_diesel
fuel,350,producer_distributor,home_heating,delivers_fuel,vehicle,carbon_content,gasoline_diesel,marketable_natural,tax_applies,fossil_fuel,gasoline
fuel,400,home_heating,subsection_registered,tax_applies,vehicle,large_reservoir,water_withdrawal,delivers_fuel,coal,carbon_content,nonregistered_person
fuel,450,vehicle,producer_distributor,home_heating,tax_applies,delivers_fuel,nonregistered_person,gasoline_diesel,marketable_natural,line_resd,fossil_fuel
fuel,500,producer_distributor,home_heating,gasoline_diesel,vehicle,carbon_content,delivers_fuel,nonregistered_person,levied,peat,backstop_jurisdiction
gas,50,methane,waste_landfill,upstream_oil,venting,livestock,flaring_venting,industrial_process,municipal_solid,msw_landfill,largest_source
gas,100,methane,waste_landfill,upstream_oil,venting,municipal_solid,livestock,industrial_process,flaring_venting,fugitive_emission,largest_source
gas,150,methane,waste_landfill,upstream_oil,venting,municipal_solid,industrial_process,livestock,flaring_venting,fugitive_emission,msw_landfill
gas,200,methane,waste_landfill,upstream_oil,venting,municipal_solid,industrial_process,livestock,flaring_venting,msw_landfill,fugitive_emission
gas,250,methane,flaring_venting,mt_respectively,venting,industrial_process,livestock,dispose,upstream_oil,municipal_solid,mt_c􏱑
gas,300,methane,waste_landfill,municipal_solid,industrial_process,upstream_oil,venting,flaring_venting,livestock,fired,stationary_energy
gas,350,methane,livestock,municipal_solid,sheep,industrial_process,stationary_energy,mt_respectively,fugitive_emission,oil_natural,elec_tricity
gas,400,methane,vast_majority,livestock,insignificant,industrial_process,msw_landfill,decreased_since,mt_respectively,venting,co
gas,450,methane,waste_landfill,venting,industrial_process,municipal_solid,dispose,stationary_energy,landfill,waste,product_use
gas,500,methane,alberta_alone,municipal_solid,flaring_venting,conventional_oil,livestock,aluminium_industry,upstream_oil,msw_landfill,venting
transportation,50,light_manufacturing,manufacturing,building,cement_manufacturing,electricity,agricultural,mineral,oil_gas,water_treatment,reducing_reliance
transportation,100,light_manufacturing,manufacturing,electricity,building,cement_manufacturing,water_treatment,agricultural,oil_gas,reducing_reliance,mineral
transportation,150,light_manufacturing,manufacturing,electricity,cement_manufacturing,building,accordance_ipcc,water_treatment,industry,agricultural,oil_gas
transportation,200,light_manufacturing,manufacturing,electricity,cement_manufacturing,building,water_treatment,accordance_ipcc,industry,oil_gas,agricultural
transportation,250,light_manufacturing,decarbonize,manufacturing,building,agricultural,industry,electricity,oil_gas,reducing_reliance,mineral
transportation,300,light_manufacturing,manufacturing,cement_manufacturing,electricity,building,industry,oil_gas,accordance_ipcc,mineral,agricultural
transportation,350,light_manufacturing,manufacturing,transformed,electricity,oil_gas,industry,space_water,agricultural,generation,intermodal
transportation,400,light_manufacturing,agricultural,manufacturing,routine_flaring,unconventional,building,industry,transformed,wind_tidal,accordance_ipcc
transportation,450,light_manufacturing,manufacturing,building,water_treatment,electricity,reducing_reliance,industry,accordance_ipcc,agricultural,oil_gas
transportation,500,light_manufacturing,electricity,manufacturing,intermodal,industry,building,industrial,cement_manufacturing,oil_gas,agricultural
transit,50,electric_vehicle,charging,energysaving,financial_incentive,installing,storage_project,electricity_grid,battery,freight_truck,manufacturer
transit,100,electric_vehicle,financial_incentive,energysaving,installing,electricity_grid,charging,manufacturer,battery,freight_truck,buying
transit,150,electric_vehicle,energysaving,financial_incentive,electricity_grid,installing,charging,furnace,battery,freight_truck,buying
transit,200,electric_vehicle,energysaving,financial_incentive,installing,charging,buying,battery,furnace,electricity_grid,manufacturer
transit,250,replace,highefficiency,appliance,furnace,device,electric_vehicle,energysaving,charging,storage_project,electricity_grid
transit,300,electric_vehicle,electricity_grid,furnace,manufacturer,installing,financial_incentive,battery,cheaper,charging,energysaving
transit,350,replace,fleet,battery,charging,storage_project,bus,heater,smallscale,electricity_grid,manufacturer
transit,400,storage_project,appliance,electricity_grid,electric_vehicle,personal_vehicle,sell,replace,alternative_fuel,rppi,accepting
transit,450,electric_vehicle,charging,trip,manufacturer,regulating,furnace,battery,financial_incentive,buying,transfer
transit,500,lane,furnace,replace,regulating,electric_vehicle,device,highefficiency,retirement,alternative_fuel,cheaper
mobility,50,limited_access,connected,property,home,telecommunication,diesel_generation,community_tuktoyaktuk,electrical_grid,connectivity,mining_operation
mobility,100,limited_access,home,connected,property,telecommunication,electrical_grid,diesel_generation,connectivity,insulation,gw
mobility,150,limited_access,home,connected,property,telecommunication,electrical_grid,diesel_generation,community_dependent,shut,gw
mobility,200,limited_access,home,connected,property,electrical_grid,telecommunication,heat_power,gw,afforestation,diesel_generation
mobility,250,example,environmental_footprint,home,longlived,limited_access,insurance,capital,inefficiency,noise,resistance
mobility,300,limited_access,home,property,gw,connected,frozen_soil,telecommunication,community_dependent,electrical_grid,winter_road
mobility,350,electricity_transmission,home,insulation,rely_diesel,tenant,public_transit,green_roof,electric,limited_access,grant_tax
mobility,400,home,environmental_footprint,resistant,limited_access,inefficiency,example,eg,carbon_sequestration,negatively_affect,noise
mobility,450,frozen_soil,community_tuktoyaktuk,home,property,mining_operation,electrical_grid,connectivity,transportation_network,heat_power,connected
mobility,500,limited_access,home,green_roof,cold_temperature,shelter,services,carbon_sequestration,athabasca_river,environmental_footprint,shipping_season
pass,50,,,,,,,,,,
pass,100,,,,,,,,,,
pass,150,,,,,,,,,,
pass,200,,,,,,,,,,
pass,250,,,,,,,,,,
pass,300,,,,,,,,,,
pass,350,,,,,,,,,,
pass,400,,,,,,,,,,
pass,450,,,,,,,,,,
pass,500,,,,,,,,,,
social,50,critical_infrastructure,ecological,among,protect,managed,facing,highrisk_population,ecosystem_service,armed,environmen_tal
social,100,critical_infrastructure,highrisk_population,protect,among,ecological,armed,managed,facing,ecosystem_service,hazard_area
social,150,critical_infrastructure,protect,among,highrisk_population,armed,ecological,managed,ecosystem_service,facing,withstand
social,200,critical_infrastructure,protect,highrisk_population,among,armed,ecological,managed,facing,ecosystem_service,withstand
social,250,health_wellbeing,armed,adequately,healthrelated_climate,secure,awareness,cox,ecological,social_economic,presenting
social,300,critical_infrastructure,protect,among,highrisk_population,armed,ecological,ecosystem_service,withstand,managed,facing
social,350,among,managed,health_wellbeing,interdependency,highquality,importance,excellence,managing,awareness,realm
social,400,experience,critical,pressing,among,social_economic,secure,health_wellbeing,managing,physical_mental,respond
social,450,critical_infrastructure,withstand,among,needed_inform,ecological,awareness,highrisk_population,engineer_planner,labour_shortage,manage
social,500,health_wellbeing,critical_infrastructure,among,integrity,managing,awareness,highrisk_population,cox,mainstreaming,begun
exclude,50,closely,represent_incremental,over,excluded,varying,experienced_significant,sum,duguay,high_degree,whereas
exclude,100,closely,represent_incremental,varying,over,excluded,experienced_significant,duguay,quite_different,those,whereas
exclude,150,closely,over,varying,represent_incremental,experienced_significant,excluded,duguay,whereas,those,associ_ated
exclude,200,closely,over,varying,excluded,represent_incremental,experienced_significant,duguay,whereas,those,associ_ated
exclude,250,subtracted,sum,aerosol,determined_using,closely,refrigeration_air,pfc_sf,oxide,conversion_factor,multiplied
exclude,300,closely,varying,experienced_significant,over,those,whereas,excluded,trottier,represent_incremental,oilfired
exclude,350,foreign_passenger,weighted,closely,downward,sum,used_calculation,aerosol,oxide,lowest,only
exclude,400,downward,aerosol,previously_reported,about,came_effect,statistically_significant,perennial,lowest,weighted,dropped
exclude,450,about,dominant,closely,free_outputbased,downward,those,memo_item,associ_ated,twothirds,exclusion
exclude,500,closely,gl,off_road,display,mobile,sum,line,red,􏴃􏴌,subtracted
alone,50,insufficiently,though,modelling_suggests,lowcost_abatement,medium_term,incometax_rate,domestic_abatement,that,even_though,margin
alone,100,though,insufficiently,lowcost_abatement,modelling_suggests,incometax_rate,medium_term,domestic_abatement,that,avoids,marginal_cost
alone,150,though,lowcost_abatement,insufficiently,incometax_rate,modelling_suggests,avoids,medium_term,marginal_cost,that,domestic_abatement
alone,200,insufficiently,lowcost_abatement,though,incometax_rate,modelling_suggests,marginal_cost,incent,avoids,positioned,medium_term
alone,250,far,appears,necessitating,analysis_suggests,come,remain,lower_end,long_run,whole,figure_illustrates
alone,300,insufficiently,lowcost_abatement,though,incometax_rate,proportional,avoids,medium_term,already_accounted,prov_ince,modelling_suggests
alone,350,target_achievement,analysis_suggests,far,modelling_suggests,figure_illustrates,whole,sharply,action_alone,inevitably,reach
alone,400,far,action_alone,analysis_suggests,though,long_run,figure_illustrates,quite,today,not_however,positioned
alone,450,figure_illustrates,inflexible_regulation,particular_importance,analysis_suggests,already_accounted,remain,avoids,eventual,insufficiently,that
alone,500,competitiveness_issue,mitigation_action,analysis_suggests,quite,lower_end,necessitating,reach,figure_illustrates,medium_term,though
friend,50,ee,repaired,exotic_specie,economically_viable,pro_duction,boundary_dam,cross_cutting,electronics_industry,hsbc,algorithm
friend,100,used_estimating,undergone,electronics_industry,resistant,algorithm,filed,boundary_organization,déclaration_de,ee,remote_sensing
friend,150,used_estimating,light_medium,catalytic,electronics_industry,steam_generation,methanol,algorithm,filed,urea,tractor
friend,200,light_medium,catalytic,used_estimating,electronics_industry,methanol,steam_generation,noncovered_activity,regis_tered,filed,tractor
friend,250,afin,manufacturing_construction,precipitation_mm,senate,de_véhicules,autumn,règlement_pris,lb,ne,en_application
friend,300,catalytic,electronics_industry,noncovered_activity,methanol,light_medium,regis_tered,filed,le_présent,déclaration_de,steam_generation
friend,350,annually,emissionsremovals,nl,respectively,bc_ab,ppm,nitrogen_trifluoride,thereafter,mt_coeq,co_equivalent
friend,400,commissioning,practice_discounting,obtained,sec_tion,d’application,experimental,percentile,annex_describes,cash_provided,form_integral
friend,450,environmental_commissioner,investigation,termination,authority,authorized,defined_section,iterative,sd,cancelled,comment
friend,500,excise_tax,kerrylieberman,liable_pay,specified_purpose,transition_period,commissioning,nearly_per,federal_court,california,particular_calendar
family,50,transfer,money,elsewhere,noncompliance,borrowing,labour,assistance,owner,thermostat,restriction
family,100,transfer,money,elsewhere,noncompliance,labour,owner,borrowing,accelerated_capital,prefer,restriction
family,150,transfer,money,elsewhere,noncompliance,labour,prefer,owner,accelerated_capital,thermostat,borrowing
family,200,money,transfer,elsewhere,noncompliance,prefer,labour,thermostat,borrowing,accelerated_capital,owner
family,250,money,private_insurance,attractive,away,sinking_fund,soft_assurance,pool,return,off,transfer
family,300,money,transfer,elsewhere,noncompliance,borrowing,prefer,restriction,attractive,thermostat,owner
family,350,money,relocating,buyer,lowincome,eliminate,homeowner,compensation,zevs,sectorlevel_assurance,borrowing
family,400,money,transfer,attractive,save,away,owner,thermostat,forest_regeneration,ownership,contrary
family,450,money,private_insurance,could_potentially,owner,transfer,agent,acceptance,attractive,thermostat,accessing
family,500,money,owner,save,tradeexposed_industry,driving,buyer,transfer,absorb,setback,market_force
