terms,windows,Term1,Term2,Term3,Term4,Term5,Term6,Term7,Term8,Term9,Term10
infrastructure,200,pro􏱌ect,optimized,􏱙nvesting_􏰋obility,maximizes,sustainable_manner,modal_shift,critical_supporting,engineering_education,􏰋􏰿,improvement
infrastructure,250,optimized,modal_shift,critical_supporting,modernization,sustainable_manner,improvement,pro􏱌ect,downtown_revitalization,improve_reliability,asset
infrastructure,300,pro􏱌ect,􏱙nvesting_􏰋obility,optimized,maximizes,sustainable_manner,modal_shift,improvement,􏰋􏰿,downtown_revitalization,critical_supporting
infrastructure,350,pro􏱌ect,optimized,􏱙nvesting_􏰋obility,sustainable_manner,modal_shift,maximizes,improvement,engineering_education,critical_supporting,􏰋􏰿
infrastructure,400,pro􏱌ect,optimized,􏱙nvesting_􏰋obility,sustainable_manner,maximizes,improvement,downtown_revitalization,􏰋􏰿,modal_shift,engineering_education
infrastructure,450,pro􏱌ect,optimized,􏱙nvesting_􏰋obility,sustainable_manner,maximizes,improvement,modal_shift,engineering_education,downtown_revitalization,􏰋􏰿
infrastructure,500,pro􏱌ect,optimized,􏱙nvesting_􏰋obility,sustainable_manner,improvement,downtown_revitalization,modal_shift,􏰋􏰿,demand_management,maximizes
fuel,50,biodiesel,small_engine,utilization,electricity,gas,biogas,emitting,natural_gas,compressed_natural,anaerobic_digestion
fuel,100,utilization,biogas,emitting,biogas_landfill,biodiesel,gas,compressed_natural,generate_electricity,energy_consumption,electricity
fuel,150,utilization,biogas,emitting,generate_electricity,biogas_landfill,biodiesel,gas,compressed_natural,energy_consumption,electricity
fuel,200,utilization,biogas,biogas_landfill,emitting,generate_electricity,biodiesel,gas,compressed_natural,energy_consumption,electricity
fuel,250,small_engine,utilization,biogas,sludge,emitting,readiness,electricity,anaerobic_digestion,energy_consumption,biodiesel
fuel,300,utilization,biogas,biogas_landfill,biodiesel,emitting,generate_electricity,gas,compressed_natural,energy_consumption,small_engine
fuel,350,utilization,biogas,biodiesel,generate_electricity,emitting,biogas_landfill,gas,compressed_natural,energy_consumption,small_engine
fuel,400,utilization,biogas,biodiesel,biogas_landfill,emitting,generate_electricity,gas,compressed_natural,energy_consumption,small_engine
fuel,450,utilization,biogas,generate_electricity,biogas_landfill,biodiesel,gas,compressed_natural,emitting,energy_consumption,small_engine
fuel,500,utilization,biogas,biodiesel,generate_electricity,biogas_landfill,emitting,gas,compressed_natural,small_engine,energy_consumption
gas,50,tonne_greenhouse,natural_gas,metric_tonne,electricity_natural,generated,megawatt,coal_natural,generation,electricity,electricity_consumption
gas,100,natural_gas,tonne_greenhouse,biogas_landfill,electricity,coal_natural,generated,electricity_natural,megawatt,emit,emitted
gas,150,natural_gas,tonne_greenhouse,biogas_landfill,electricity,coal_natural,generated,electricity_natural,megawatt,emit,emitted
gas,200,natural_gas,tonne_greenhouse,biogas_landfill,electricity,generated,coal_natural,megawatt,emit,electricity_natural,emitted
gas,250,tonne_greenhouse,natural_gas,electricity,electricity_natural,biogas_landfill,landfill_gas,generate_electricity,metric_tonne,megawatt,energy_consumption
gas,300,natural_gas,tonne_greenhouse,biogas_landfill,electricity,generated,coal_natural,megawatt,emit,electricity_natural,emitted
gas,350,natural_gas,tonne_greenhouse,biogas_landfill,electricity,generated,coal_natural,megawatt,emit,electricity_natural,emitted
gas,400,natural_gas,tonne_greenhouse,biogas_landfill,electricity,generated,coal_natural,megawatt,emit,electricity_natural,emitted
gas,450,natural_gas,tonne_greenhouse,biogas_landfill,electricity,generated,coal_natural,megawatt,emit,electricity_natural,emitted
gas,500,natural_gas,tonne_greenhouse,biogas_landfill,electricity,generated,coal_natural,emit,megawatt,electricity_natural,metric_tonne
transportation,50,sustainable_transportation,􏱵,active_transportation,mobility,transportation_mode,people_good,transit,good_movement,routeahead,broadway_corridor
transportation,100,sustainable_transportation,active_transportation,mobility,transportation_mode,􏱵,,transit,land_use,intercity,transportation_option
transportation,150,sustainable_transportation,active_transportation,mobility,􏱵,transportation_mode,transit,,land_use,intercity,transportation_option
transportation,200,sustainable_transportation,active_transportation,mobility,􏱵,transportation_mode,transit,,land_use,protected_bike,transportation_option
transportation,250,sustainable_transportation,􏱵,transportation_mode,mobility,active_transportation,people_good,transit,,􏰎􏱅,getting_around
transportation,300,sustainable_transportation,active_transportation,mobility,􏱵,transportation_mode,land_use,transit,,protected_bike,intercity
transportation,350,sustainable_transportation,active_transportation,mobility,􏱵,transportation_mode,,land_use,transit,protected_bike,intercity
transportation,400,sustainable_transportation,active_transportation,mobility,􏱵,transportation_mode,,land_use,protected_bike,transit,intercity
transportation,450,sustainable_transportation,active_transportation,mobility,􏱵,transportation_mode,,land_use,transit,protected_bike,standard_manual
transportation,500,sustainable_transportation,active_transportation,􏱵,mobility,transportation_mode,,land_use,transit,protected_bike,standard_manual
transit,50,active_transportation,walking_cycling,cycling,carpooling,broadway_corridor,light_rail,millennium_line,􏲇owever,spot_improvement,lrt
transit,100,millennium_line,walking_cycling,active_transportation,intercity,lrt,regional_express,light_rail,cycling,fast_frequent,broadway_corridor
transit,150,millennium_line,active_transportation,walking_cycling,intercity,cycling,regional_express,lrt,fast_frequent,light_rail,carpooling
transit,200,millennium_line,walking_cycling,active_transportation,cycling,fast_frequent,carpooling,light_rail,lrt,intercity,regional_express
transit,250,walking_cycling,marginal,cycling,active_transportation,protected_bike,regional_express,carpooling,rapid_transit,light_rail,lrt
transit,300,millennium_line,walking_cycling,active_transportation,cycling,regional_express,intercity,light_rail,lrt,fast_frequent,carpooling
transit,350,walking_cycling,active_transportation,millennium_line,regional_express,cycling,intercity,fast_frequent,light_rail,carpooling,protected_bike
transit,400,millennium_line,walking_cycling,active_transportation,cycling,regional_express,fast_frequent,carpooling,light_rail,intercity,lrt
transit,450,walking_cycling,active_transportation,millennium_line,regional_express,cycling,intercity,light_rail,protected_bike,lrt,fast_frequent
transit,500,millennium_line,walking_cycling,active_transportation,cycling,regional_express,protected_bike,fast_frequent,intercity,carpooling,light_rail
mobility,50,mobility_option,mobility_choice,safety_accessibility,active_transportation,movement_people,good_movement,encouragement,transportation_option,encourage_active,personal_mobility
mobility,100,active_transportation,,encourage_active,transportation_option,efficient_movement,transportation_mode,edmonton’s_livability,mobility_choice,choice,person_mobility
mobility,150,active_transportation,encourage_active,transportation_option,,efficient_movement,transportation_mode,diversity_housing,mobility_choice,person_mobility,edmonton’s_livability
mobility,200,active_transportation,encourage_active,transportation_option,efficient_movement,,transportation_mode,diversity_housing,person_mobility,edmonton’s_livability,mobility_choice
mobility,250,edmonton’s_livability,mobility_option,mobility_choice,transportation_mode,sustainable_transportation,active_transportation,choice,transportation_option,good_movement,efficient_movement
mobility,300,active_transportation,encourage_active,transportation_option,,efficient_movement,diversity_housing,transportation_mode,person_mobility,edmonton’s_livability,choice
mobility,350,,active_transportation,encourage_active,transportation_option,diversity_housing,efficient_movement,transportation_mode,person_mobility,edmonton’s_livability,choice
mobility,400,active_transportation,encourage_active,transportation_option,diversity_housing,efficient_movement,,edmonton’s_livability,person_mobility,transportation_mode,choice
mobility,450,active_transportation,encourage_active,transportation_option,diversity_housing,efficient_movement,,choice,edmonton’s_livability,transportation_mode,concept_complete
mobility,500,encourage_active,active_transportation,efficient_movement,diversity_housing,transportation_option,,person_mobility,transportation_mode,edmonton’s_livability,choice
pass,50,week,willingness_pay,recorded,discounted,year_old,new_flyer,shown_exhibit,time_day,unable,dataset
pass,100,under,monthly,willingness_pay,comparative,windshield,ets_purchase,fixed_cost,personnel,translinkõs,fill
pass,150,under,monthly,willingness_pay,windshield,comparative,fixed_cost,personnel,latter,fill,ets_purchase
pass,200,under,comparative,monthly,windshield,latter,willingness_pay,personnel,fixed_cost,ets_purchase,fill
pass,250,discounted,recorded,driver_passenger,week,altoona_test,cleanup,phone,willingness_pay,transit_pass,time_day
pass,300,under,windshield,monthly,comparative,fixed_cost,willingness_pay,latter,ets_purchase,fill,personnel
pass,350,under,monthly,fixed_cost,comparative,windshield,latter,fill,willingness_pay,ets_purchase,personnel
pass,400,under,monthly,fixed_cost,comparative,windshield,ets_purchase,willingness_pay,latter,fill,rapid_charger
pass,450,under,fixed_cost,monthly,comparative,windshield,latter,ets_purchase,fill,willingness_pay,rapid_charger
pass,500,under,monthly,fixed_cost,comparative,latter,windshield,rapid_charger,fill,ets_purchase,willingness_pay
social,50,liveability,broaden,cultural,contribute,equally_important,social_cultural,public_health,resiliency,healthy_living,wellbeing
social,100,cultural,offer,help_define,contribute,citizens’,public_health,providing,variety,adaptable,educational_opportunity
social,150,cultural,offer,help_define,contribute,public_health,citizens’,variety,adaptable,providing,diversification
social,200,cultural,offer,help_define,contribute,citizens’,variety,public_health,adaptable,providing,diversification
social,250,cultural,contribute,diversity,social_cultural,variety,diverse,providing,public_health,citizen,wellbeing
social,300,cultural,offer,help_define,contribute,public_health,variety,citizens’,adaptable,providing,diversification
social,350,cultural,offer,citizens’,help_define,contribute,variety,public_health,adaptable,providing,broaden
social,400,cultural,offer,contribute,variety,help_define,public_health,citizens’,broaden,adaptable,providing
social,450,cultural,offer,public_health,contribute,citizens’,variety,help_define,broaden,providing,adaptable
social,500,cultural,offer,variety,citizens’,contribute,help_define,public_health,providing,broaden,adaptable
exclude,50,agency_soa,􏱕􏲂,specialty_equipment,soa_parking,heavy_vehicle,kilometer,fleet_acquisition,citizen_either,soa,􏲀􏱢
exclude,100,remained,specialty_equipment,􏲀􏱢,heavy_vehicle,kmh,decreased_due,􏱢_􏱢,􏲀􏱢_􏲀􏱢,kilometer,􏱀􏱢
exclude,150,􏲀􏱢,specialty_equipment,remained,heavy_vehicle,decreased_due,􏲀􏱢_􏲀􏱢,kmh,kilometer,􏱢_􏱢,sidewalk_pathway
exclude,200,􏲀􏱢,specialty_equipment,heavy_vehicle,remained,decreased_due,􏱢_􏱢,kmh,kilometer,sidewalk_pathway,paid_parking
exclude,250,hourly,kilometer,agency_soa,soa_parking,hamilton_wpg,weather_condition,csps,specialty_equipment,soa,city_beautification
exclude,300,􏲀􏱢,specialty_equipment,remained,heavy_vehicle,decreased_due,paid_parking,􏱢_􏱢,􏲀􏱢_􏲀􏱢,sidewalk_pathway,soa_parking
exclude,350,􏲀􏱢,decreased_due,remained,paid_parking,specialty_equipment,􏲀􏱢_􏲀􏱢,􏱢_􏱢,heavy_vehicle,kilometer,sidewalk_pathway
exclude,400,􏲀􏱢,specialty_equipment,remained,heavy_vehicle,decreased_due,paid_parking,􏱢_􏱢,matthew,􏲀􏱢_􏲀􏱢,sidewalk_pathway
exclude,450,􏲀􏱢,specialty_equipment,remained,paid_parking,decreased_due,􏱢_􏱢,heavy_vehicle,􏲀􏱢_􏲀􏱢,matthew,soa_parking
exclude,500,􏲀􏱢,specialty_equipment,paid_parking,remained,matthew,heavy_vehicle,􏲀􏱢_􏲀􏱢,decreased_due,􏱢_􏱢,slight_increase
alone,50,promising,thanks,before,multifamily_building,san,energuide,manager_association,“green”,importantly,berkeley
alone,100,california,piece,about,onto,attain,british,some,mexico,“green”,“green
alone,150,california,piece,about,onto,attain,british,“green”,mexico,some,search
alone,200,california,about,piece,attain,onto,british,before,mexico,search,earn
alone,250,search,buyer,returned,transitional,label,al,backed,energuide,fruit_vegetable,mandated
alone,300,california,piece,onto,attain,about,british,“green”,cal,promising,mexico
alone,350,california,about,onto,piece,attain,british,“green”,promising,mexico,search
alone,400,california,onto,about,piece,attain,“green”,british,promising,earn,mexico
alone,450,california,about,onto,attain,british,“green”,piece,renter,earn,mexico
alone,500,california,onto,about,attain,“green”,british,piece,promising,earn,mexico
friend,50,literacy,kid,access_fresh,raise_awareness,kitchen,whose,tended,survive,influencers,children’s
friend,100,else,kid,nutrition,david,enjoying,literacy,differently,educated,feeling,survive
friend,150,kid,else,nutrition,literacy,educated,survive,enjoying,promoted,seminar,news
friend,200,else,kid,nutrition,children’s,news,enjoying,educated,seminar,gordon,promoted
friend,250,kid,else,mainstream,got,spotlight,researcher,competition,eye,meanwhile,excited
friend,300,else,kid,nutrition,literacy,david,friendly,skilled,enjoying,whose,gordon
friend,350,kid,else,nutrition,skilled,literacy,whose,donated,promoted,david,friendly
friend,400,kid,else,nutrition,literacy,whose,news,friendly,survive,design_excellence,promoted
friend,450,kid,else,nutrition,skilled,literacy,whose,gordon,enjoying,friendly,david
friend,500,else,kid,nutrition,literacy,skilled,whose,donated,enjoying,survive,gordon
family,50,child,lowincome,woman,worker,young_people,differently,close,spend,feel,dining
family,100,child,spend,lose,faster,low_income,feel,adult,lowincome,leave,woman
family,150,child,spend,lose,faster,feel,low_income,adult,lowincome,leave,woman
family,200,child,spend,lose,low_income,faster,feel,lowincome,adult,close,leave
family,250,lowincome,faster,adult,enjoyed,tend,turn,dining,vice_versa,worker,obesity
family,300,child,lose,spend,feel,faster,low_income,adult,lowincome,leave,close
family,350,child,lose,spend,feel,faster,low_income,adult,lowincome,close,leave
family,400,child,lose,spend,feel,faster,low_income,adult,lowincome,close,leave
family,450,child,lose,spend,feel,faster,low_income,adult,leave,close,lowincome
family,500,child,lose,spend,feel,faster,low_income,adult,lowincome,close,leave
